Nom,"Statut ",Assigned To (OLD utiliser Responsable),Dates,Temps vendus en jours
KIT UI,Pas commencé,,4 août 2025 → 22 août 2025,
Déclinaisons graphiques,Pas commencé,,4 août 2025 → 22 août 2025,
Création design system V1,Pas commencé,,4 août 2025 → 8 août 2025,
Envoi clients,Pas commencé,,8 août 2025,
Retours clients,Pas commencé,,11 août 2025 → 13 août 2025,
Itérations V2,Pas commencé,,13 août 2025 → 18 août 2025,
Envoi clients,Pas commencé,,18 août 2025,
Retours clients,Pas commencé,,18 août 2025 → 20 août 2025,
Itérations V3,Pas commencé,,20 août 2025 → 22 août 2025,
Envoi clients,Pas commencé,,22 août 2025,
Validation VF,Pas commencé,,22 août 2025,
Point Hebdo - 28/04,Pas commencé,,,
Création intention graphique (1 ou 2 pages),Pas commencé,,30 juin 2025 → 4 juillet 2025,
Envoi clients + présentation clients,Pas commencé,,7 juillet 2025,
Retours clients,Pas commencé,,7 juillet 2025 → 11 juillet 2025,
UX (FR/EN),Pas commencé,,30 juin 2025 → 1 août 2025,
Création intention graphique (1 ou 2 pages),Pas commencé,,30 juin 2025 → 4 juillet 2025,
Envoi clients + présentation clients,Pas commencé,,7 juillet 2025,
Retours clients,Pas commencé,,7 juillet 2025 → 11 juillet 2025,
Création V1,Pas commencé,,15 juillet 2025 → 18 juillet 2025,
Envoi clients,Pas commencé,,18 juillet 2025,
Retours clients,Pas commencé,,21 juillet 2025 → 23 juillet 2025,
Itérations V2,Pas commencé,,23 juillet 2025 → 25 juillet 2025,
Envoi clients,Pas commencé,,25 juillet 2025,
Retours clients,Pas commencé,,28 juillet 2025 → 30 juillet 2025,
Itérations V3,Pas commencé,,30 juillet 2025 → 1 août 2025,
Envoi clients,Pas commencé,,1 août 2025,
Validation VF,Pas commencé,,1 août 2025,
Comitologie,En cours,,,
Point Hebdo - 16/04,Terminé,,,
Point Hebdo - 24/04,Pas commencé,,,
Kick-off,Terminé,,1 avril 2025 → 8 avril 2025,
Cadrage,En cours,,10 avril 2025 → 13 juin 2025,
Note de cadrage,Pas commencé,,12 mai 2025 → 13 juin 2025,
Audit SEO,En cours,,14 avril 2025 → 12 mai 2025,
Conception,Pas commencé,,16 juin 2025 → 24 octobre 2025,
Lot 1,Pas commencé,,2 juin 2025 → 11 juillet 2025,
Développement,Pas commencé,,20 octobre 2025 → 12 décembre 2025,
Formation et contribution CMS,Pas commencé,,20 octobre 2025 → 31 octobre 2025,
Mise en ligne,Pas commencé,,3 novembre 2025,
Recette FBF,Pas commencé,,20 octobre 2025 → 31 octobre 2025,
Recette Spintank,Pas commencé,,13 octobre 2025 → 31 octobre 2025,
Recette Softeam,Pas commencé,,13 octobre 2025 → 31 octobre 2025,
Développement technique,Pas commencé,,15 septembre 2025 → 31 octobre 2025,
Spécifications fonctionnelles,Pas commencé,,1 septembre 2025 → 19 septembre 2025,
Analyse de l’existant,En cours,,14 avril 2025 → 22 avril 2025,
Compte rendu et restitution de l’atelier,Pas commencé,,29 avril 2025 → 14 mai 2025,
Atelier,Pas commencé,,29 avril 2025,
Préparation,En cours,,22 avril 2025 → 28 avril 2025,
Envoi document Kick-off + CR + planning,Terminé,,10 avril 2025,
Réunion,Terminé,,9 avril 2025,
Préparation réunion,Terminé,,1 avril 2025 → 8 avril 2025,
